Node1,Node2,Weight
covid,covid,1
covid,fuck,0.0554089709762532
covid,government,0.0228671943711521
covid,mask,0.12664907651715
covid,money,0.0158311345646438
covid,news,0.0325417766051011
covid,old,0.119613016710642
covid,public,0.0290237467018469
covid,time,0.13896218117854
covid,vaccine,0.248021108179419
covid,work,0.146877748460861
covid,years,0.050131926121372
fuck,covid,0.0521091811414392
fuck,fuck,1
fuck,government,0.0190239867659222
fuck,mask,0.126550868486352
fuck,money,0.0223325062034739
fuck,news,0.0148883374689826
fuck,old,0.0562448304383788
fuck,public,0.0281224152191894
fuck,time,0.0818858560794044
fuck,vaccine,0.14309346567411
fuck,work,0.0794044665012407
fuck,years,0.0272952853598014
government,covid,0.0601851851851851
government,fuck,0.0532407407407407
government,government,1
government,mask,0.129629629629629
government,money,0.0393518518518518
government,news,0.0347222222222222
government,old,0.0856481481481481
government,public,0.0833333333333333
government,time,0.104166666666666
government,vaccine,0.236111111111111
government,work,0.125
government,years,0.0393518518518518
mask,covid,0.0730964467005076
mask,fuck,0.0776649746192893
mask,government,0.0284263959390862
mask,mask,1
mask,money,0.00609137055837563
mask,news,0.0187817258883248
mask,old,0.0878172588832487
mask,public,0.065989847715736
mask,time,0.111675126903553
mask,vaccine,0.18730964467005
mask,work,0.11979695431472
mask,years,0.0274111675126903
money,covid,0.0586319218241042
money,fuck,0.0879478827361563
money,government,0.0553745928338762
money,mask,0.0390879478827361
money,money,1
money,news,0.01628664495114
money,old,0.0651465798045602
money,public,0.0260586319218241
money,time,0.120521172638436
money,vaccine,0.17915309446254
money,work,0.192182410423452
money,years,0.0325732899022801
news,covid,0.0626057529610829
news,fuck,0.0304568527918781
news,government,0.0253807106598984
news,mask,0.0626057529610829
news,money,0.00846023688663282
news,news,1
news,old,0.0812182741116751
news,public,0.0287648054145516
news,time,0.0862944162436548
news,vaccine,0.170896785109983
news,work,0.0744500846023688
news,years,0.0253807106598984
old,covid,0.113522537562604
old,fuck,0.0567612687813021
old,government,0.0308848080133555
old,mask,0.144407345575959
old,money,0.01669449081803
old,news,0.0400667779632721
old,old,1
old,public,0.0342237061769616
old,time,0.130217028380634
old,vaccine,0.202003338898163
old,work,0.149415692821368
old,years,0.0776293823038397
public,covid,0.0627376425855513
public,fuck,0.0646387832699619
public,government,0.0684410646387832
public,mask,0.247148288973384
public,money,0.0152091254752851
public,news,0.0323193916349809
public,old,0.0779467680608365
public,public,1
public,time,0.104562737642585
public,vaccine,0.205323193916349
public,work,0.144486692015209
public,years,0.0304182509505703
time,covid,0.107336956521739
time,fuck,0.0672554347826086
time,government,0.030570652173913
time,mask,0.14945652173913
time,money,0.0251358695652173
time,news,0.0346467391304347
time,old,0.105978260869565
time,public,0.0373641304347826
time,time,1
time,vaccine,0.194293478260869
time,work,0.181385869565217
time,years,0.0550271739130434
vaccine,covid,0.0925804333552199
vaccine,fuck,0.056795797767564
vaccine,government,0.0334865397242285
vaccine,mask,0.121142481943532
vaccine,money,0.0180564674983585
vaccine,news,0.0331582403151674
vaccine,old,0.0794484569927774
vaccine,public,0.0354563361785948
vaccine,time,0.0938936309914642
vaccine,vaccine,1
vaccine,work,0.104727511490479
vaccine,years,0.0302035456336178
work,covid,0.0941375422773393
work,fuck,0.0541149943630214
work,government,0.0304396843291995
work,mask,0.133032694475761
work,money,0.0332581736189402
work,news,0.0248027057497181
work,old,0.100901916572717
work,public,0.0428410372040586
work,time,0.150507328072153
work,vaccine,0.179819616685456
work,work,1
work,years,0.0541149943630214
years,covid,0.116089613034623
years,fuck,0.0672097759674134
years,government,0.0346232179226069
years,mask,0.109979633401222
years,money,0.020366598778004
years,news,0.0305498981670061
years,old,0.189409368635437
years,public,0.0325865580448065
years,time,0.164969450101833
years,vaccine,0.187372708757637
years,work,0.195519348268839
years,years,1
